KickID,Player,FG Made,FG Attempted,PCT,Longest,1-19,20-29,30-39,40-49,50+,Extra Point Made,Extra Points Attempted,Games Played,FPTS,FPTS/G,ROST
1.0,Brandon Aubrey (DAL),36.0,38.0,94.7,60.0,0.0,9.0,13.0,4.0,10.0,49.0,52.0,17.0,181.0,10.6,95.0%
2.0,Justin Tucker (BAL),32.0,37.0,86.5,50.0,0.0,10.0,10.0,11.0,1.0,51.0,52.0,17.0,160.0,9.4,96.9%
3.0,Cairo Santos (CHI),35.0,38.0,92.1,55.0,0.0,9.0,11.0,8.0,7.0,31.0,33.0,17.0,158.0,9.3,14.7%
4.0,Jason Myers (SEA),35.0,42.0,83.3,55.0,0.0,8.0,11.0,12.0,4.0,33.0,33.0,17.0,158.0,9.3,55.5%
5.0,Matt Gay (IND),33.0,41.0,80.5,57.0,0.0,9.0,9.0,7.0,8.0,35.0,36.0,17.0,157.0,9.2,46.1%
6.0,Jake Elliott (PHI),30.0,32.0,93.8,61.0,0.0,9.0,7.0,7.0,7.0,45.0,46.0,17.0,156.0,9.2,91.9%
7.0,Harrison Butker (KC),33.0,35.0,94.3,60.0,0.0,8.0,13.0,7.0,5.0,38.0,38.0,17.0,154.0,9.1,90.7%
8.0,Cameron Dicker (LAC),31.0,33.0,93.9,55.0,0.0,7.0,8.0,9.0,7.0,35.0,35.0,17.0,151.0,8.9,52.3%
9.0,Blake Grupe (NO),30.0,37.0,81.1,55.0,0.0,10.0,6.0,8.0,6.0,40.0,40.0,17.0,150.0,8.8,5.9%
10.0,Dustin Hopkins (CLE),33.0,36.0,91.7,58.0,0.0,8.0,7.0,10.0,8.0,24.0,26.0,15.0,149.0,9.9,32.4%
11.0,Brandon McManus (WAS),30.0,37.0,81.1,56.0,0.0,4.0,10.0,11.0,5.0,35.0,35.0,17.0,146.0,8.6,34.7%
12.0,Jason Sanders (MIA),24.0,28.0,85.7,57.0,0.0,6.0,7.0,6.0,5.0,58.0,59.0,17.0,146.0,8.6,65.7%
13.0,Greg Zuerlein (NYJ),35.0,38.0,92.1,55.0,0.0,8.0,9.0,13.0,5.0,15.0,16.0,16.0,143.0,8.9,6.9%
14.0,Evan McPherson (CIN),26.0,31.0,83.9,56.0,0.0,5.0,6.0,8.0,7.0,40.0,40.0,17.0,140.0,8.2,77.6%
15.0,Younghoe Koo (ATL),32.0,37.0,86.5,54.0,0.0,10.0,10.0,9.0,3.0,27.0,28.0,17.0,138.0,8.1,51.3%
16.0,Chase McLaughlin (TB),29.0,31.0,93.5,57.0,0.0,8.0,12.0,2.0,7.0,33.0,33.0,17.0,136.0,8.0,16.1%
17.0,Chris Boswell (PIT),29.0,31.0,93.5,57.0,0.0,9.0,7.0,7.0,6.0,27.0,28.0,17.0,133.0,7.8,25.4%
18.0,Tyler Bass (BUF),24.0,29.0,82.8,54.0,0.0,4.0,12.0,4.0,4.0,49.0,50.0,17.0,133.0,7.8,72.9%
19.0,Jake Moody (SF),21.0,25.0,84.0,57.0,0.0,7.0,8.0,4.0,2.0,60.0,61.0,17.0,131.0,7.7,69.4%
20.0,Nick Folk (TEN),29.0,30.0,96.7,53.0,0.0,9.0,9.0,6.0,5.0,28.0,30.0,17.0,131.0,7.7,30.6%
21.0,Matt Prater (ARI),28.0,33.0,84.8,62.0,0.0,6.0,7.0,6.0,9.0,22.0,23.0,17.0,130.0,7.6,6.0%
22.0,Wil Lutz (DEN),30.0,34.0,88.2,52.0,0.0,11.0,12.0,4.0,3.0,29.0,31.0,17.0,129.0,7.6,12.4%
23.0,Anders Carlson (GB),27.0,33.0,81.8,53.0,0.0,6.0,14.0,4.0,3.0,34.0,39.0,17.0,125.0,7.4,5.7%
24.0,Daniel Carlson (LV),26.0,30.0,86.7,54.0,0.0,10.0,6.0,9.0,1.0,32.0,32.0,17.0,121.0,7.1,39.8%
25.0,Greg Joseph (MIN),24.0,30.0,80.0,54.0,1.0,7.0,9.0,3.0,4.0,36.0,38.0,17.0,119.0,7.0,5.6%
26.0,Ka'imi Fairbairn (HOU),27.0,28.0,96.4,54.0,0.0,10.0,10.0,2.0,5.0,21.0,22.0,12.0,114.0,9.5,10.7%
27.0,Eddy Pineiro (CAR),25.0,29.0,86.2,56.0,0.0,6.0,7.0,7.0,5.0,17.0,20.0,15.0,109.0,7.3,5.7%
28.0,Joey Slye (WAS),19.0,24.0,79.2,61.0,0.0,2.0,7.0,7.0,3.0,32.0,35.0,17.0,102.0,6.0,0.9%
29.0,Riley Patterson (JAC),16.0,18.0,88.9,52.0,0.0,2.0,11.0,2.0,1.0,41.0,44.0,15.0,93.0,6.2,21.2%
30.0,Chad Ryland (NE),16.0,25.0,64.0,56.0,0.0,4.0,5.0,5.0,2.0,24.0,25.0,17.0,81.0,4.8,0.5%
31.0,Brett Maher (LAR),17.0,23.0,73.9,54.0,0.0,3.0,4.0,7.0,3.0,13.0,15.0,8.0,77.0,9.6,2.8%
