Position,Player,CMP,PassingATT,PCT,PassingYDS,YardsPerThrow,PassingTD,INT,SACKS,RushingATT,RushingYDS,RushingTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
QB,Josh Allen (BUF),319.0,460.0,69.3,3668.0,8.0,25.0,10.0,40.0,112.0,579.0,14.0,3.0,17.0,374.5,22.0,99.1
QB,Drake Maye (NE),354.0,492.0,72.0,4394.0,8.9,31.0,8.0,47.0,103.0,450.0,4.0,3.0,17.0,359.9,21.2,97.9
QB,Matthew Stafford (LAR),388.0,597.0,65.0,4707.0,7.9,46.0,8.0,23.0,29.0,1.0,0.0,3.0,17.0,358.3,21.1,92.0
QB,Trevor Lawrence (JAC),341.0,560.0,60.9,4007.0,7.2,29.0,12.0,41.0,82.0,359.0,9.0,3.0,17.0,350.1,20.6,86.0
QB,Caleb Williams (CHI),330.0,568.0,58.1,3942.0,6.9,27.0,7.0,24.0,77.0,383.0,3.0,1.0,17.0,325.3,19.1,86.4
QB,Dak Prescott (DAL),404.0,600.0,67.3,4552.0,7.6,30.0,10.0,31.0,53.0,177.0,2.0,2.0,17.0,323.8,19.0,85.8
QB,Bo Nix (DEN),388.0,612.0,63.4,3931.0,6.4,25.0,11.0,22.0,83.0,356.0,5.0,2.0,17.0,315.8,18.6,90.5
QB,Jared Goff (DET),393.0,578.0,68.0,4564.0,7.9,34.0,8.0,38.0,19.0,45.0,0.0,5.0,17.0,305.1,17.9,68.1
QB,Jalen Hurts (PHI),294.0,454.0,64.8,3224.0,7.1,25.0,6.0,32.0,105.0,421.0,8.0,4.0,16.0,305.0,19.1,93.9
QB,Justin Herbert (LAC),340.0,512.0,66.4,3727.0,7.3,26.0,13.0,54.0,83.0,498.0,2.0,2.0,16.0,299.8,18.7,82.4
QB,Patrick Mahomes II (KC),315.0,502.0,62.7,3587.0,7.1,22.0,11.0,34.0,64.0,422.0,5.0,0.0,14.0,296.7,21.2,73.8
QB,Baker Mayfield (TB),343.0,543.0,63.2,3693.0,6.8,26.0,11.0,36.0,55.0,382.0,1.0,3.0,17.0,282.9,16.6,70.1
QB,Sam Darnold (SEA),323.0,477.0,67.7,4048.0,8.5,25.0,14.0,27.0,35.0,95.0,0.0,6.0,17.0,249.4,14.7,50.4
